question_id,category,difficulty,sensitive_info_level,iteration,method,pred_sql,gold_sql,ex,pred_rows,gold_rows,latency_ms,api_error,exec_error
UW001,고지의무,simple,medium,1,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM contracts
JOIN insured ON contracts.contract_id = insured.insured_id
WHERE contracts.termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',0,1,1,1693.93,,
UW001,고지의무,simple,medium,2,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM contracts
JOIN insured ON contracts.contract_id = insured.insured_id
WHERE contracts.termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',0,1,1,1191.03,,
UW001,고지의무,simple,medium,3,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM contracts
JOIN insured ON contracts.contract_id = insured.insured_id
WHERE contracts.termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',0,1,1,1747.62,,
UW002,고지의무,moderate,medium,1,semantic_layer,"SELECT STRFTIME('%Y', contracts.termination_date) AS year, COUNT(contracts.contract_id) AS contract_count
FROM contracts
WHERE contracts.termination_reason = '고지의무위반'
AND contracts.termination_date >= DATE('now', '-3 years')
GROUP BY year
ORDER BY year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1871.82,,
UW002,고지의무,moderate,medium,2,semantic_layer,"SELECT STRFTIME('%Y', contracts.termination_date) AS year, COUNT(contracts.contract_id) AS contract_count
FROM contracts
WHERE contracts.termination_reason = '고지의무위반'
AND contracts.termination_date >= DATE('now', '-3 years')
GROUP BY year
ORDER BY year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1264.06,,
UW002,고지의무,moderate,medium,3,semantic_layer,"SELECT STRFTIME('%Y', contracts.termination_date) AS year, COUNT(contracts.contract_id) AS contract_count
FROM contracts
WHERE contracts.termination_reason = '고지의무위반'
AND contracts.termination_date >= DATE('now', '-3 years')
GROUP BY year
ORDER BY year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1456.47,,
UW003,고지의무,moderate,high,1,semantic_layer,"SELECT COUNT(contracts.contract_id) 
FROM contracts 
WHERE contracts.causation_proven = 1;",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,1,1,1,824.06,,
UW003,고지의무,moderate,high,2,semantic_layer,"SELECT COUNT(contracts.contract_id) 
FROM contracts 
WHERE contracts.causation_proven = 1;",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,1,1,1,839.1,,
UW003,고지의무,moderate,high,3,semantic_layer,"SELECT COUNT(contracts.contract_id) 
FROM contracts 
WHERE contracts.causation_proven = 1;",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,1,1,1,960.58,,
UW004,고지의무,moderate,high,1,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM insured
JOIN claims ON insured.insured_id = claims.insured_id
WHERE claims.onset_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,1029.43,,
UW004,고지의무,moderate,high,2,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM insured
JOIN claims ON insured.insured_id = claims.insured_id
WHERE claims.onset_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,1004.42,,
UW004,고지의무,moderate,high,3,semantic_layer,"SELECT COUNT(DISTINCT insured.insured_id)
FROM insured
JOIN claims ON insured.insured_id = claims.insured_id
WHERE claims.onset_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,1391.05,,
UW005,사기탐지,simple,high,1,semantic_layer,"SELECT COUNT(contracts.contract_id)
FROM contracts
WHERE contracts.cancellation_reason IN ('대리진단', '진단서 위변조');","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,923.39,,
UW005,사기탐지,simple,high,2,semantic_layer,"SELECT COUNT(contracts.contract_id)
FROM contracts
WHERE contracts.cancellation_reason IN ('대리진단', '진단서 위변조');","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,849.97,,
UW005,사기탐지,simple,high,3,semantic_layer,"SELECT COUNT(contracts.contract_id)
FROM contracts
WHERE contracts.cancellation_reason IN ('대리진단', '진단서 위변조');","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,3930.04,,
